Samples,Byte/thd,ChaseThds,ChaseNS,ChaseMibs,ChDeviate,LoadThds,LdMaxMibs,LdAvgMibs,LdDeviate,ChaseArg,MemLdArg
5,1073741824,0,0.000,0,0.000,28,162113,161764,0.004,--------,memset-libc
5,32768,0,0.000,0,0.000,32,1215431,1215205,0.001,--------,memset-libc
5,524288,0,0.000,0,0.000,32,1217800,1207751,0.041,--------,memset-libc
5,16777216,0,0.000,0,0.000,32,170880,169726,0.018,--------,memset-libc
5,1073741824,0,0.000,0,0.000,32,161037,160371,0.015,--------,memset-libc
5,32768,0,0.000,0,0.000,1,75529,75526,0.000,--------,memsetz-libc
5,524288,0,0.000,0,0.000,1,76121,76108,0.001,--------,memsetz-libc
5,16777216,0,0.000,0,0.000,1,60483,59630,0.037,--------,memsetz-libc
5,1073741824,0,0.000,0,0.000,1,58247,57989,0.012,--------,memsetz-libc
5,32768,0,0.000,0,0.000,4,302146,302138,0.000,--------,memsetz-libc
5,524288,0,0.000,0,0.000,4,304501,304382,0.002,--------,memsetz-libc
5,16777216,0,0.000,0,0.000,4,145205,144857,0.007,--------,memsetz-libc
5,1073741824,0,0.000,0,0.000,4,134936,134702,0.005,--------,memsetz-libc
5,32768,0,0.000,0,0.000,8,604276,604261,0.000,--------,memsetz-libc
5,524288,0,0.000,0,0.000,8,609042,608081,0.008,--------,memsetz-libc
5,16777216,0,0.000,0,0.000,8,171246,170694,0.007,--------,memsetz-libc
5,1073741824,0,0.000,0,0.000,8,160515,159625,0.015,--------,memsetz-libc
5,32768,0,0.000,0,0.000,12,906457,906416,0.000,--------,memsetz-libc
5,524288,0,0.000,0,0.000,12,913573,909717,0.021,--------,memsetz-libc
5,16777216,0,0.000,0,0.000,12,173987,173526,0.008,--------,memsetz-libc
5,1073741824,0,0.000,0,0.000,12,166006,165512,0.006,--------,memsetz-libc
5,32768,0,0.000,0,0.000,16,1208536,1208519,0.000,--------,memsetz-libc
5,524288,0,0.000,0,0.000,16,1218051,1207375,0.044,--------,memsetz-libc
5,16777216,0,0.000,0,0.000,16,173704,173270,0.008,--------,memsetz-libc
5,1073741824,0,0.000,0,0.000,16,165095,164468,0.010,--------,memsetz-libc
5,32768,0,0.000,0,0.000,20,1510770,1510688,0.000,--------,memsetz-libc
5,524288,0,0.000,0,0.000,20,1522455,1500473,0.071,--------,memsetz-libc
5,16777216,0,0.000,0,0.000,20,174027,173721,0.005,--------,memsetz-libc
5,1073741824,0,0.000,0,0.000,20,162863,162525,0.004,--------,memsetz-libc
5,32768,0,0.000,0,0.000,24,1812643,1812629,0.000,--------,memsetz-libc
5,524288,0,0.000,0,0.000,24,1826826,1790422,0.096,--------,memsetz-libc
5,16777216,0,0.000,0,0.000,24,173573,173315,0.004,--------,memsetz-libc
5,1073741824,0,0.000,0,0.000,24,163004,162863,0.003,--------,memsetz-libc
5,32768,0,0.000,0,0.000,28,2114721,2114677,0.000,--------,memsetz-libc
5,524288,0,0.000,0,0.000,28,2122031,1995369,0.207,--------,memsetz-libc
5,16777216,0,0.000,0,0.000,28,172185,170550,0.029,--------,memsetz-libc
5,1073741824,0,0.000,0,0.000,28,161820,160643,0.020,--------,memsetz-libc
5,32768,0,0.000,0,0.000,32,2416730,2415410,0.003,--------,memsetz-libc
5,524288,0,0.000,0,0.000,32,1921403,1654086,0.333,--------,memsetz-libc
5,16777216,0,0.000,0,0.000,32,170876,169368,0.018,--------,memsetz-libc
5,1073741824,0,0.000,0,0.000,32,162032,161184,0.009,--------,memsetz-libc
5,32768,0,0.000,0,0.000,1,37711,37709,0.000,--------,stream-sum
5,524288,0,0.000,0,0.000,1,36841,36833,0.000,--------,stream-sum
5,16777216,0,0.000,0,0.000,1,32900,32840,0.003,--------,stream-sum
5,1073741824,0,0.000,0,0.000,1,18459,18411,0.007,--------,stream-sum
5,32768,0,0.000,0,0.000,4,141575,141548,0.000,--------,stream-sum
5,524288,0,0.000,0,0.000,4,144652,144607,0.001,--------,stream-sum
5,16777216,0,0.000,0,0.000,4,82911,82642,0.006,--------,stream-sum
5,1073741824,0,0.000,0,0.000,4,70701,70602,0.004,--------,stream-sum
5,32768,0,0.000,0,0.000,8,286354,286329,0.000,--------,stream-sum
5,524288,0,0.000,0,0.000,8,289103,288973,0.001,--------,stream-sum
5,16777216,0,0.000,0,0.000,8,138874,138609,0.006,--------,stream-sum
5,1073741824,0,0.000,0,0.000,8,125123,125072,0.001,--------,stream-sum
5,32768,0,0.000,0,0.000,12,357441,355914,0.009,--------,stream-sum
5,524288,0,0.000,0,0.000,12,437142,437058,0.000,--------,stream-sum
5,16777216,0,0.000,0,0.000,12,170431,169601,0.008,--------,stream-sum
5,1073741824,0,0.000,0,0.000,12,153525,153079,0.008,--------,stream-sum
5,32768,0,0.000,0,0.000,16,305833,305732,0.001,--------,stream-sum
5,524288,0,0.000,0,0.000,16,577504,577366,0.000,--------,stream-sum
5,16777216,0,0.000,0,0.000,16,187303,186364,0.012,--------,stream-sum
5,1073741824,0,0.000,0,0.000,16,169544,167682,0.024,--------,stream-sum
5,32768,0,0.000,0,0.000,20,308308,308177,0.001,--------,stream-sum
5,524288,0,0.000,0,0.000,20,726059,725927,0.000,--------,stream-sum
5,16777216,0,0.000,0,0.000,20,186529,186046,0.005,--------,stream-sum
5,1073741824,0,0.000,0,0.000,20,167934,167717,0.003,--------,stream-sum
5,32768,0,0.000,0,0.000,24,291327,291259,0.001,--------,stream-sum
5,524288,0,0.000,0,0.000,24,855408,855220,0.000,--------,stream-sum
5,16777216,0,0.000,0,0.000,24,179719,179454,0.005,--------,stream-sum
5,1073741824,0,0.000,0,0.000,24,163233,163136,0.001,--------,stream-sum
5,32768,0,0.000,0,0.000,28,308330,308267,0.000,--------,stream-sum
5,524288,0,0.000,0,0.000,28,1004531,1004343,0.000,--------,stream-sum
5,16777216,0,0.000,0,0.000,28,178551,178251,0.004,--------,stream-sum
5,1073741824,0,0.000,0,0.000,28,163702,159509,0.041,--------,stream-sum
5,32768,0,0.000,0,0.000,32,318305,318247,0.000,--------,stream-sum
5,524288,0,0.000,0,0.000,32,1154214,1153902,0.001,--------,stream-sum
5,16777216,0,0.000,0,0.000,32,177944,177358,0.008,--------,stream-sum
5,1073741824,0,0.000,0,0.000,32,165699,165463,0.003,--------,stream-sum
5,32768,0,0.000,0,0.000,1,74920,74909,0.000,--------,stream-triad
5,524288,0,0.000,0,0.000,1,60500,60452,0.002,--------,stream-triad
5,16777216,0,0.000,0,0.000,1,24579,24473,0.014,--------,stream-triad
5,1073741824,0,0.000,0,0.000,1,23697,23643,0.003,--------,stream-triad
5,32768,0,0.000,0,0.000,4,279151,279098,0.000,--------,stream-triad
5,524288,0,0.000,0,0.000,4,234561,234418,0.001,--------,stream-triad
5,16777216,0,0.000,0,0.000,4,91637,91526,0.002,--------,stream-triad
5,1073741824,0,0.000,0,0.000,4,88106,87717,0.009,--------,stream-triad
5,32768,0,0.000,0,0.000,8,599274,599251,0.000,--------,stream-triad
5,524288,0,0.000,0,0.000,8,472628,472187,0.002,--------,stream-triad
5,16777216,0,0.000,0,0.000,8,142140,141842,0.004,--------,stream-triad
5,1073741824,0,0.000,0,0.000,8,137514,136995,0.007,--------,stream-triad
5,32768,0,0.000,0,0.000,12,898716,898674,0.000,--------,stream-triad
5,524288,0,0.000,0,0.000,12,717786,717205,0.002,--------,stream-triad
5,16777216,0,0.000,0,0.000,12,163851,163354,0.006,--------,stream-triad
5,1073741824,0,0.000,0,0.000,12,160089,159542,0.007,--------,stream-triad
5,32768,0,0.000,0,0.000,16,1198490,1198425,0.000,--------,stream-triad
5,524288,0,0.000,0,0.000,16,926811,925724,0.002,--------,stream-triad
5,16777216,0,0.000,0,0.000,16,170035,168998,0.012,--------,stream-triad
5,1073741824,0,0.000,0,0.000,16,162927,162196,0.008,--------,stream-triad
5,32768,0,0.000,0,0.000,20,1390850,1390782,0.000,--------,stream-triad
5,524288,0,0.000,0,0.000,20,1171907,1171377,0.001,--------,stream-triad
5,16777216,0,0.000,0,0.000,20,167789,167696,0.002,--------,stream-triad
5,1073741824,0,0.000,0,0.000,20,163126,162493,0.012,--------,stream-triad
5,32768,0,0.000,0,0.000,24,1658177,1658000,0.000,--------,stream-triad
5,524288,0,0.000,0,0.000,24,1358581,1358268,0.001,--------,stream-triad
5,16777216,0,0.000,0,0.000,24,167717,167153,0.010,--------,stream-triad
5,1073741824,0,0.000,0,0.000,24,163167,162417,0.009,--------,stream-triad
5,32768,0,0.000,0,0.000,28,1927960,1927803,0.000,--------,stream-triad
5,524288,0,0.000,0,0.000,28,1580374,1579859,0.001,--------,stream-triad
5,16777216,0,0.000,0,0.000,28,166437,165806,0.007,--------,stream-triad
5,1073741824,0,0.000,0,0.000,28,162961,162564,0.005,--------,stream-triad
5,32768,0,0.000,0,0.000,32,2207813,2207406,0.001,--------,stream-triad
5,524288,0,0.000,0,0.000,32,1781501,1779133,0.003,--------,stream-triad
5,16777216,0,0.000,0,0.000,32,165070,163399,0.033,--------,stream-triad
5,1073741824,0,0.000,0,0.000,32,157426,155327,0.029,--------,stream-triad
