Samples,Byte/thd,ChaseThds,ChaseNS,ChaseMibs,ChDeviate,LoadThds,LdMaxMibs,LdAvgMibs,LdDeviate,ChaseArg,MemLdArg
5,1073741824,0,0.000,0,0.000,28,76754,76411,0.020,--------,memset-libc
5,32768,0,0.000,0,0.000,32,886345,881056,0.019,--------,memset-libc
5,524288,0,0.000,0,0.000,32,715729,689257,0.102,--------,memset-libc
5,16777216,0,0.000,0,0.000,32,78140,77928,0.007,--------,memset-libc
5,1073741824,0,0.000,0,0.000,32,76600,76412,0.007,--------,memset-libc
5,32768,0,0.000,0,0.000,1,123149,122934,0.004,--------,memsetz-libc
5,524288,0,0.000,0,0.000,1,55071,53875,0.095,--------,memsetz-libc
5,16777216,0,0.000,0,0.000,1,21184,21073,0.012,--------,memsetz-libc
5,1073741824,0,0.000,0,0.000,1,6795,6792,0.001,--------,memsetz-libc
5,32768,0,0.000,0,0.000,4,567420,566827,0.002,--------,memsetz-libc
5,524288,0,0.000,0,0.000,4,225966,220768,0.110,--------,memsetz-libc
5,16777216,0,0.000,0,0.000,4,28432,28421,0.001,--------,memsetz-libc
5,1073741824,0,0.000,0,0.000,4,26783,26775,0.001,--------,memsetz-libc
5,32768,0,0.000,0,0.000,8,1102015,1100000,0.004,--------,memsetz-libc
5,524288,0,0.000,0,0.000,8,448657,438990,0.081,--------,memsetz-libc
5,16777216,0,0.000,0,0.000,8,55367,55310,0.003,--------,memsetz-libc
5,1073741824,0,0.000,0,0.000,8,53002,52975,0.002,--------,memsetz-libc
5,32768,0,0.000,0,0.000,12,1615303,1614224,0.002,--------,memsetz-libc
5,524288,0,0.000,0,0.000,12,668701,655213,0.097,--------,memsetz-libc
5,16777216,0,0.000,0,0.000,12,78255,78034,0.008,--------,memsetz-libc
5,1073741824,0,0.000,0,0.000,12,74252,72573,0.055,--------,memsetz-libc
5,32768,0,0.000,0,0.000,16,2186362,2183834,0.002,--------,memsetz-libc
5,524288,0,0.000,0,0.000,16,892776,876388,0.088,--------,memsetz-libc
5,16777216,0,0.000,0,0.000,16,80816,80644,0.005,--------,memsetz-libc
5,1073741824,0,0.000,0,0.000,16,76926,75699,0.049,--------,memsetz-libc
5,32768,0,0.000,0,0.000,20,1841821,1840508,0.003,--------,memsetz-libc
5,524288,0,0.000,0,0.000,20,856719,836996,0.093,--------,memsetz-libc
5,16777216,0,0.000,0,0.000,20,79858,77522,0.075,--------,memsetz-libc
5,1073741824,0,0.000,0,0.000,20,76535,74468,0.061,--------,memsetz-libc
5,32768,0,0.000,0,0.000,24,1567636,1565754,0.003,--------,memsetz-libc
5,524288,0,0.000,0,0.000,24,838201,820968,0.097,--------,memsetz-libc
5,16777216,0,0.000,0,0.000,24,79457,78020,0.036,--------,memsetz-libc
5,1073741824,0,0.000,0,0.000,24,76968,76831,0.004,--------,memsetz-libc
5,32768,0,0.000,0,0.000,28,1228768,1223319,0.010,--------,memsetz-libc
5,524288,0,0.000,0,0.000,28,793355,750728,0.112,--------,memsetz-libc
5,16777216,0,0.000,0,0.000,28,78808,78469,0.015,--------,memsetz-libc
5,1073741824,0,0.000,0,0.000,28,76672,76183,0.018,--------,memsetz-libc
5,32768,0,0.000,0,0.000,32,886299,883575,0.013,--------,memsetz-libc
5,524288,0,0.000,0,0.000,32,681138,663947,0.082,--------,memsetz-libc
5,16777216,0,0.000,0,0.000,32,78129,77894,0.009,--------,memsetz-libc
5,1073741824,0,0.000,0,0.000,32,76541,76406,0.006,--------,memsetz-libc
5,32768,0,0.000,0,0.000,1,23382,23378,0.000,--------,stream-sum
5,524288,0,0.000,0,0.000,1,23539,23537,0.000,--------,stream-sum
5,16777216,0,0.000,0,0.000,1,22551,22457,0.009,--------,stream-sum
5,1073741824,0,0.000,0,0.000,1,11527,11513,0.003,--------,stream-sum
5,32768,0,0.000,0,0.000,4,91970,91958,0.000,--------,stream-sum
5,524288,0,0.000,0,0.000,4,94056,94054,0.000,--------,stream-sum
5,16777216,0,0.000,0,0.000,4,50768,50715,0.002,--------,stream-sum
5,1073741824,0,0.000,0,0.000,4,43783,43737,0.004,--------,stream-sum
5,32768,0,0.000,0,0.000,8,184121,184110,0.000,--------,stream-sum
5,524288,0,0.000,0,0.000,8,188130,188122,0.000,--------,stream-sum
5,16777216,0,0.000,0,0.000,8,90175,90086,0.002,--------,stream-sum
5,1073741824,0,0.000,0,0.000,8,82021,81469,0.016,--------,stream-sum
5,32768,0,0.000,0,0.000,12,274543,274515,0.000,--------,stream-sum
5,524288,0,0.000,0,0.000,12,282244,282235,0.000,--------,stream-sum
5,16777216,0,0.000,0,0.000,12,113584,112314,0.023,--------,stream-sum
5,1073741824,0,0.000,0,0.000,12,104079,103496,0.017,--------,stream-sum
5,32768,0,0.000,0,0.000,16,362480,362367,0.001,--------,stream-sum
5,524288,0,0.000,0,0.000,16,376287,376186,0.001,--------,stream-sum
5,16777216,0,0.000,0,0.000,16,118110,117637,0.008,--------,stream-sum
5,1073741824,0,0.000,0,0.000,16,109330,108122,0.028,--------,stream-sum
5,32768,0,0.000,0,0.000,20,366009,365943,0.001,--------,stream-sum
5,524288,0,0.000,0,0.000,20,376183,376110,0.001,--------,stream-sum
5,16777216,0,0.000,0,0.000,20,117461,112285,0.081,--------,stream-sum
5,1073741824,0,0.000,0,0.000,20,109032,108293,0.014,--------,stream-sum
5,32768,0,0.000,0,0.000,24,369054,368935,0.001,--------,stream-sum
5,524288,0,0.000,0,0.000,24,376067,376018,0.001,--------,stream-sum
5,16777216,0,0.000,0,0.000,24,116550,114227,0.055,--------,stream-sum
5,1073741824,0,0.000,0,0.000,24,108600,108349,0.004,--------,stream-sum
5,32768,0,0.000,0,0.000,28,370036,369997,0.000,--------,stream-sum
