Samples,Byte/thd,ChaseThds,ChaseNS,ChaseMibs,ChDeviate,LoadThds,LdMaxMibs,LdAvgMibs,LdDeviate,ChaseArg,MemLdArg
5,1073741824,0,0.000,0,0.000,28,155720,154201,0.031,--------,memset-libc
5,32768,0,0.000,0,0.000,32,1215425,1215214,0.001,--------,memset-libc
5,524288,0,0.000,0,0.000,32,1217949,1209508,0.033,--------,memset-libc
5,16777216,0,0.000,0,0.000,32,167578,165767,0.035,--------,memset-libc
5,1073741824,0,0.000,0,0.000,32,157883,154123,0.055,--------,memset-libc
5,32768,0,0.000,0,0.000,1,75546,75546,0.000,--------,memsetz-libc
5,524288,0,0.000,0,0.000,1,76120,76107,0.001,--------,memsetz-libc
5,16777216,0,0.000,0,0.000,1,60513,60275,0.014,--------,memsetz-libc
5,1073741824,0,0.000,0,0.000,1,58410,58398,0.000,--------,memsetz-libc
5,32768,0,0.000,0,0.000,4,302220,302212,0.000,--------,memsetz-libc
5,524288,0,0.000,0,0.000,4,304503,304370,0.002,--------,memsetz-libc
5,16777216,0,0.000,0,0.000,4,145533,145454,0.001,--------,memsetz-libc
5,1073741824,0,0.000,0,0.000,4,134987,134925,0.001,--------,memsetz-libc
5,32768,0,0.000,0,0.000,8,604460,604447,0.000,--------,memsetz-libc
5,524288,0,0.000,0,0.000,8,609052,608189,0.007,--------,memsetz-libc
5,16777216,0,0.000,0,0.000,8,172346,171874,0.005,--------,memsetz-libc
5,1073741824,0,0.000,0,0.000,8,161259,160808,0.011,--------,memsetz-libc
5,32768,0,0.000,0,0.000,12,906737,906718,0.000,--------,memsetz-libc
5,524288,0,0.000,0,0.000,12,913542,909363,0.023,--------,memsetz-libc
5,16777216,0,0.000,0,0.000,12,172706,170439,0.036,--------,memsetz-libc
5,1073741824,0,0.000,0,0.000,12,165841,163948,0.042,--------,memsetz-libc
5,32768,0,0.000,0,0.000,16,1208864,1208822,0.000,--------,memsetz-libc
5,524288,0,0.000,0,0.000,16,1217858,1208763,0.038,--------,memsetz-libc
5,16777216,0,0.000,0,0.000,16,172000,169128,0.045,--------,memsetz-libc
5,1073741824,0,0.000,0,0.000,16,164273,163285,0.012,--------,memsetz-libc
5,32768,0,0.000,0,0.000,20,1510985,1510938,0.000,--------,memsetz-libc
5,524288,0,0.000,0,0.000,20,1522370,1499987,0.074,--------,memsetz-libc
5,16777216,0,0.000,0,0.000,20,170536,169253,0.013,--------,memsetz-libc
5,1073741824,0,0.000,0,0.000,20,161517,159897,0.017,--------,memsetz-libc
5,32768,0,0.000,0,0.000,24,1813083,1813027,0.000,--------,memsetz-libc
5,524288,0,0.000,0,0.000,24,1826840,1786949,0.107,--------,memsetz-libc
5,16777216,0,0.000,0,0.000,24,174549,173986,0.010,--------,memsetz-libc
5,1073741824,0,0.000,0,0.000,24,163569,163453,0.002,--------,memsetz-libc
5,32768,0,0.000,0,0.000,28,2115281,2115213,0.000,--------,memsetz-libc
5,524288,0,0.000,0,0.000,28,2075164,1917944,0.220,--------,memsetz-libc
5,16777216,0,0.000,0,0.000,28,174144,173329,0.010,--------,memsetz-libc
5,1073741824,0,0.000,0,0.000,28,161942,160447,0.027,--------,memsetz-libc
5,32768,0,0.000,0,0.000,32,2417431,2417008,0.001,--------,memsetz-libc
5,524288,0,0.000,0,0.000,32,1883063,1679068,0.396,--------,memsetz-libc
5,16777216,0,0.000,0,0.000,32,162847,161198,0.020,--------,memsetz-libc
5,1073741824,0,0.000,0,0.000,32,158804,158280,0.009,--------,memsetz-libc
5,32768,0,0.000,0,0.000,1,19110,19110,0.000,--------,stream-sum
5,524288,0,0.000,0,0.000,1,19025,19023,0.000,--------,stream-sum
5,16777216,0,0.000,0,0.000,1,18865,18769,0.010,--------,stream-sum
5,1073741824,0,0.000,0,0.000,1,17629,17607,0.003,--------,stream-sum
5,32768,0,0.000,0,0.000,4,74741,74738,0.000,--------,stream-sum
5,524288,0,0.000,0,0.000,4,75904,75894,0.000,--------,stream-sum
5,16777216,0,0.000,0,0.000,4,70895,70866,0.001,--------,stream-sum
