Architecture,Iteration,Samples,Byte/thd,ChaseThds,ChaseNS,ChaseMibs,ChDeviate,LoadThds,LdMaxMibs,LdAvgMibs,LdDeviate,ChaseArg,MemLdArg
Intel,3,5,32768,0,0,0,0,20,2854995,2847694,0.005,--------,memcpy-libc
Intel,1,5,524288,0,0,0,0,20,1299326,1298193,0.002,--------,memcpy-libc
Intel,2,5,524288,0,0,0,0,20,1301219,1300330,0.001,--------,memcpy-libc
Intel,3,5,524288,0,0,0,0,20,1284094,1283181,0.001,--------,memcpy-libc
Intel,1,5,16777216,0,0,0,0,20,91640,91442,0.006,--------,memcpy-libc
Intel,2,5,16777216,0,0,0,0,20,91583,91502,0.003,--------,memcpy-libc
Intel,3,5,16777216,0,0,0,0,20,91699,91614,0.002,--------,memcpy-libc
Intel,1,5,1073741824,0,0,0,0,20,91595,91517,0.002,--------,memcpy-libc
Intel,2,5,1073741824,0,0,0,0,20,91710,91572,0.003,--------,memcpy-libc
Intel,3,5,1073741824,0,0,0,0,20,91677,91609,0.001,--------,memcpy-libc
Intel,1,5,32768,0,0,0,0,24,2418224,2416351,0.001,--------,memcpy-libc
Intel,2,5,32768,0,0,0,0,24,2370601,2368374,0.003,--------,memcpy-libc
Intel,3,5,32768,0,0,0,0,24,2436323,2435093,0.002,--------,memcpy-libc
Intel,1,5,524288,0,0,0,0,24,1248752,1248004,0.002,--------,memcpy-libc
Intel,2,5,524288,0,0,0,0,24,1235447,1234056,0.003,--------,memcpy-libc
Intel,3,5,524288,0,0,0,0,24,1225121,1221470,0.01,--------,memcpy-libc
Intel,1,5,16777216,0,0,0,0,24,90829,90785,0.001,--------,memcpy-libc
Intel,2,5,16777216,0,0,0,0,24,90829,90610,0.006,--------,memcpy-libc
Intel,3,5,16777216,0,0,0,0,24,90362,90201,0.003,--------,memcpy-libc
Intel,1,5,1073741824,0,0,0,0,24,90336,89971,0.01,--------,memcpy-libc
Intel,2,5,1073741824,0,0,0,0,24,90267,90039,0.009,--------,memcpy-libc
Intel,3,5,1073741824,0,0,0,0,24,90518,90319,0.005,--------,memcpy-libc
Intel,1,5,32768,0,0,0,0,28,1848337,1842158,0.007,--------,memcpy-libc
Intel,2,5,32768,0,0,0,0,28,1846976,1845057,0.002,--------,memcpy-libc
Intel,3,5,32768,0,0,0,0,28,1848400,1844602,0.004,--------,memcpy-libc
Intel,1,5,524288,0,0,0,0,28,1132537,1131847,0.001,--------,memcpy-libc
Intel,2,5,524288,0,0,0,0,28,1115120,1114420,0.001,--------,memcpy-libc
Intel,3,5,524288,0,0,0,0,28,1146524,1146019,0.001,--------,memcpy-libc
Intel,1,5,16777216,0,0,0,0,28,89763,89633,0.003,--------,memcpy-libc
Intel,2,5,16777216,0,0,0,0,28,89757,89710,0.001,--------,memcpy-libc
Intel,3,5,16777216,0,0,0,0,28,89805,89749,0.002,--------,memcpy-libc
Intel,1,5,1073741824,0,0,0,0,28,89944,89059,0.029,--------,memcpy-libc
Intel,2,5,1073741824,0,0,0,0,28,89661,89547,0.005,--------,memcpy-libc
Intel,3,5,1073741824,0,0,0,0,28,89688,89446,0.006,--------,memcpy-libc
Intel,1,5,32768,0,0,0,0,32,1301687,1301618,0,--------,memcpy-libc
Intel,2,5,32768,0,0,0,0,32,1303337,1302797,0.001,--------,memcpy-libc
Intel,3,5,32768,0,0,0,0,32,1301191,1301000,0,--------,memcpy-libc
Intel,1,5,524288,0,0,0,0,32,1055287,1055101,0,--------,memcpy-libc
Intel,2,5,524288,0,0,0,0,32,1076188,1075776,0.001,--------,memcpy-libc
Intel,3,5,524288,0,0,0,0,32,1063562,1062600,0.003,--------,memcpy-libc
Intel,1,5,16777216,0,0,0,0,32,89177,88977,0.006,--------,memcpy-libc
Intel,2,5,16777216,0,0,0,0,32,88594,88534,0.001,--------,memcpy-libc
Intel,3,5,16777216,0,0,0,0,32,88659,88322,0.011,--------,memcpy-libc
Intel,1,5,1073741824,0,0,0,0,32,88920,88454,0.009,--------,memcpy-libc
Intel,2,5,1073741824,0,0,0,0,32,89001,88938,0.001,--------,memcpy-libc
Intel,3,5,1073741824,0,0,0,0,32,89006,88944,0.001,--------,memcpy-libc
Intel,1,5,32768,0,0,0,0,1,125643,125615,0.001,--------,memset-libc
Intel,2,5,32768,0,0,0,0,1,126317,126290,0.001,--------,memset-libc
Intel,3,5,32768,0,0,0,0,1,127087,126679,0.015,--------,memset-libc
Intel,1,5,524288,0,0,0,0,1,56162,54767,0.125,--------,memset-libc
Intel,2,5,524288,0,0,0,0,1,56129,54380,0.147,--------,memset-libc
Intel,3,5,524288,0,0,0,0,1,55957,54131,0.149,--------,memset-libc
Intel,1,5,16777216,0,0,0,0,1,22611,22561,0.009,--------,memset-libc
Intel,2,5,16777216,0,0,0,0,1,22769,22719,0.01,--------,memset-libc
Intel,3,5,16777216,0,0,0,0,1,22729,22665,0.011,--------,memset-libc
Intel,1,5,1073741824,0,0,0,0,1,6883,6880,0.002,--------,memset-libc
Intel,2,5,1073741824,0,0,0,0,1,6893,6888,0.001,--------,memset-libc
Intel,3,5,1073741824,0,0,0,0,1,6896,6889,0.002,--------,memset-libc
Intel,1,5,32768,0,0,0,0,4,543502,543001,0.003,--------,memset-libc
Intel,2,5,32768,0,0,0,0,4,551925,550696,0.004,--------,memset-libc
Intel,3,5,32768,0,0,0,0,4,555034,554781,0.002,--------,memset-libc
Intel,1,5,524288,0,0,0,0,4,225866,219956,0.125,--------,memset-libc
Intel,2,5,524288,0,0,0,0,4,227042,219097,0.144,--------,memset-libc
Intel,3,5,524288,0,0,0,0,4,227097,221062,0.133,--------,memset-libc
Intel,1,5,16777216,0,0,0,0,4,28743,28726,0.001,--------,memset-libc
Intel,2,5,16777216,0,0,0,0,4,28656,28615,0.003,--------,memset-libc
Intel,3,5,16777216,0,0,0,0,4,28595,28547,0.004,--------,memset-libc
Intel,1,5,1073741824,0,0,0,0,4,26959,26929,0.004,--------,memset-libc
Intel,2,5,1073741824,0,0,0,0,4,26911,26899,0.001,--------,memset-libc
Intel,3,5,1073741824,0,0,0,0,4,26998,26965,0.003,--------,memset-libc
Intel,1,5,32768,0,0,0,0,8,1114731,1100989,0.034,--------,memset-libc
Intel,2,5,32768,0,0,0,0,8,1101583,1099347,0.004,--------,memset-libc
Intel,3,5,32768,0,0,0,0,8,1089786,1089681,0,--------,memset-libc
Intel,1,5,524288,0,0,0,0,8,454022,443567,0.107,--------,memset-libc
Intel,2,5,524288,0,0,0,0,8,452826,444471,0.089,--------,memset-libc
Intel,3,5,524288,0,0,0,0,8,453213,442003,0.12,--------,memset-libc
Intel,1,5,16777216,0,0,0,0,8,55162,55087,0.003,--------,memset-libc
Intel,2,5,16777216,0,0,0,0,8,55290,55155,0.005,--------,memset-libc
Intel,3,5,16777216,0,0,0,0,8,55336,55273,0.004,--------,memset-libc
Intel,1,5,1073741824,0,0,0,0,8,52633,52524,0.006,--------,memset-libc
Intel,2,5,1073741824,0,0,0,0,8,52504,52500,0,--------,memset-libc
Intel,3,5,1073741824,0,0,0,0,8,52494,52454,0.002,--------,memset-libc
Intel,1,5,32768,0,0,0,0,12,1649656,1649086,0.001,--------,memset-libc
Intel,2,5,32768,0,0,0,0,12,1646182,1645253,0.001,--------,memset-libc
Intel,3,5,32768,0,0,0,0,12,1626871,1625658,0.003,--------,memset-libc
Intel,1,5,524288,0,0,0,0,12,677569,657761,0.117,--------,memset-libc
Intel,2,5,524288,0,0,0,0,12,676706,659541,0.123,--------,memset-libc
Intel,3,5,524288,0,0,0,0,12,672465,651390,0.103,--------,memset-libc
Intel,1,5,16777216,0,0,0,0,12,78143,77974,0.007,--------,memset-libc
Intel,2,5,16777216,0,0,0,0,12,78036,77815,0.007,--------,memset-libc
Intel,3,5,16777216,0,0,0,0,12,77799,77645,0.005,--------,memset-libc
Intel,1,5,1073741824,0,0,0,0,12,74425,74147,0.01,--------,memset-libc
Intel,2,5,1073741824,0,0,0,0,12,74374,74158,0.004,--------,memset-libc
Intel,3,5,1073741824,0,0,0,0,12,74075,73622,0.012,--------,memset-libc
Intel,1,5,32768,0,0,0,0,16,2272854,2260446,0.008,--------,memset-libc
Intel,2,5,32768,0,0,0,0,16,2214422,2213479,0.001,--------,memset-libc
Intel,3,5,32768,0,0,0,0,16,2235350,2231202,0.006,--------,memset-libc
Intel,1,5,524288,0,0,0,0,16,904747,884719,0.102,--------,memset-libc
Intel,2,5,524288,0,0,0,0,16,903770,880578,0.108,--------,memset-libc
Intel,3,5,524288,0,0,0,0,16,905387,885288,0.106,--------,memset-libc
Intel,1,5,16777216,0,0,0,0,16,84872,84055,0.026,--------,memset-libc
Intel,2,5,16777216,0,0,0,0,16,84780,84573,0.009,--------,memset-libc
Intel,3,5,16777216,0,0,0,0,16,84910,84351,0.012,--------,memset-libc
Intel,1,5,1073741824,0,0,0,0,16,79123,79038,0.003,--------,memset-libc
Intel,2,5,1073741824,0,0,0,0,16,79134,78889,0.006,--------,memset-libc
Intel,3,5,1073741824,0,0,0,0,16,79162,79034,0.004,--------,memset-libc
Intel,1,5,32768,0,0,0,0,20,1930952,1924225,0.006,--------,memset-libc
Intel,2,5,32768,0,0,0,0,20,1869818,1866546,0.004,--------,memset-libc
Intel,3,5,32768,0,0,0,0,20,1931025,1928052,0.004,--------,memset-libc
Intel,1,5,524288,0,0,0,0,20,865448,850869,0.076,--------,memset-libc
Intel,2,5,524288,0,0,0,0,20,869478,855110,0.077,--------,memset-libc
Intel,3,5,524288,0,0,0,0,20,853114,829058,0.072,--------,memset-libc
Intel,1,5,16777216,0,0,0,0,20,82875,82409,0.008,--------,memset-libc
Intel,2,5,16777216,0,0,0,0,20,82834,82390,0.01,--------,memset-libc
Intel,3,5,16777216,0,0,0,0,20,82127,81633,0.019,--------,memset-libc
Intel,1,5,1073741824,0,0,0,0,20,78571,77937,0.018,--------,memset-libc
Intel,2,5,1073741824,0,0,0,0,20,78810,78323,0.01,--------,memset-libc
Intel,3,5,1073741824,0,0,0,0,20,78323,77500,0.014,--------,memset-libc
Intel,1,5,32768,0,0,0,0,24,1566798,1565325,0.002,--------,memset-libc
