Architecture,Iteration,Samples,Byte/thd,ChaseThds,ChaseNS,ChaseMibs,ChDeviate,LoadThds,LdMaxMibs,LdAvgMibs,LdDeviate,ChaseArg,MemLdArg
Intel,1,5,1073741824,1,304.092,25,0.001,15,80023,80006,0.001,chaseload,memset-libc
Intel,2,5,1073741824,1,305.046,25,0,15,80039,80027,0,chaseload,memset-libc
Intel,3,5,1073741824,1,304.254,25,0.001,15,80075,80058,0.001,chaseload,memset-libc
Intel,4,5,1073741824,1,304.805,25,0.001,15,80044,80008,0.001,chaseload,memset-libc
Intel,5,5,1073741824,1,304.142,25,0.001,15,80018,80003,0,chaseload,memset-libc
Intel,1,5,1073741824,1,400.832,19,0.001,19,79947,79928,0.001,chaseload,memset-libc
Intel,2,5,1073741824,1,400.623,19,0.001,19,79953,79939,0,chaseload,memset-libc
Intel,3,5,1073741824,1,400.319,19,0.002,19,79959,79909,0.002,chaseload,memset-libc
Intel,4,5,1073741824,1,400.67,19,0,19,79960,79934,0.001,chaseload,memset-libc
Intel,5,5,1073741824,1,400.655,19,0.001,19,79934,79920,0,chaseload,memset-libc
Intel,1,5,1073741824,1,402.337,19,0.001,23,80006,79998,0,chaseload,memset-libc
Intel,2,5,1073741824,1,402.607,19,0.001,23,80033,80023,0,chaseload,memset-libc
Intel,3,5,1073741824,1,401.921,19,0,23,80064,80035,0.001,chaseload,memset-libc
Intel,4,5,1073741824,1,402.627,19,0,23,80044,80034,0,chaseload,memset-libc
Intel,5,5,1073741824,1,402.365,19,0.001,23,80064,80053,0,chaseload,memset-libc
Intel,1,5,1073741824,1,404.58,19,0.001,27,79980,79962,0.001,chaseload,memset-libc
Intel,2,5,1073741824,1,404.778,19,0,27,79971,79947,0.001,chaseload,memset-libc
Intel,3,5,1073741824,1,404.609,19,0.001,27,79974,79956,0,chaseload,memset-libc
Intel,4,5,1073741824,1,404.7,19,0.001,27,79973,79943,0.001,chaseload,memset-libc
Intel,5,5,1073741824,1,404.732,19,0.001,27,79943,79933,0,chaseload,memset-libc
Intel,1,5,1073741824,1,408.314,19,0.002,31,79507,79463,0.002,chaseload,memset-libc
Intel,2,5,1073741824,1,408.17,19,0.001,31,79528,79500,0.001,chaseload,memset-libc
Intel,3,5,1073741824,1,407.979,19,0.001,31,79498,79471,0.001,chaseload,memset-libc
Intel,4,5,1073741824,1,408.217,19,0.001,31,79475,79462,0.001,chaseload,memset-libc
Intel,5,5,1073741824,1,408.197,19,0.001,31,79481,79455,0.001,chaseload,memset-libc
Intel,1,5,1073741824,1,121.676,63,0.001,0,0,0,0,chaseload,memsetz-libc
Intel,2,5,1073741824,1,121.611,63,0.001,0,0,0,0,chaseload,memsetz-libc
Intel,3,5,1073741824,1,121.614,63,0,0,0,0,0,chaseload,memsetz-libc
Intel,4,5,1073741824,1,121.611,63,0.001,0,0,0,0,chaseload,memsetz-libc
Intel,5,5,1073741824,1,121.608,63,0.003,0,0,0,0,chaseload,memsetz-libc
Intel,1,5,1073741824,1,185.698,41,0.001,3,20409,20404,0.001,chaseload,memsetz-libc
Intel,2,5,1073741824,1,185.562,41,0,3,20421,20412,0.002,chaseload,memsetz-libc
Intel,3,5,1073741824,1,185.57,41,0.001,3,20419,20416,0,chaseload,memsetz-libc
Intel,4,5,1073741824,1,186.12,41,0.001,3,20424,20422,0,chaseload,memsetz-libc
Intel,5,5,1073741824,1,185.111,41,0.001,3,20417,20409,0.001,chaseload,memsetz-libc
Intel,1,5,1073741824,1,211.697,36,0.001,7,46143,46138,0,chaseload,memsetz-libc
Intel,2,5,1073741824,1,211.701,36,0.001,7,46140,46137,0,chaseload,memsetz-libc
Intel,3,5,1073741824,1,212.211,36,0.001,7,46142,46137,0,chaseload,memsetz-libc
Intel,4,5,1073741824,1,211.77,36,0,7,46147,46143,0,chaseload,memsetz-libc
Intel,5,5,1073741824,1,211.887,36,0,7,46151,46146,0,chaseload,memsetz-libc
Intel,1,5,1073741824,1,268.045,28,0.001,11,69958,69928,0.001,chaseload,memsetz-libc
Intel,2,5,1073741824,1,267.972,28,0,11,69913,69902,0,chaseload,memsetz-libc
Intel,3,5,1073741824,1,267.799,28,0.001,11,69985,69949,0.001,chaseload,memsetz-libc
Intel,4,5,1073741824,1,267.938,28,0.001,11,69993,69986,0,chaseload,memsetz-libc
Intel,5,5,1073741824,1,268.004,28,0,11,70031,70008,0.001,chaseload,memsetz-libc
Intel,1,5,1073741824,1,304.625,25,0.001,15,80045,80022,0.001,chaseload,memsetz-libc
Intel,2,5,1073741824,1,304.637,25,0.002,15,80056,80025,0.001,chaseload,memsetz-libc
Intel,3,5,1073741824,1,305.014,25,0,15,80030,80014,0.001,chaseload,memsetz-libc
Intel,4,5,1073741824,1,304.683,25,0.002,15,80056,80008,0.002,chaseload,memsetz-libc
Intel,5,5,1073741824,1,304.749,25,0.001,15,80066,80026,0.001,chaseload,memsetz-libc
Intel,1,5,1073741824,1,400.916,19,0.002,19,79947,79931,0,chaseload,memsetz-libc
Intel,2,5,1073741824,1,401.078,19,0,19,79946,79935,0,chaseload,memsetz-libc
Intel,3,5,1073741824,1,401.036,19,0.001,19,79937,79917,0.001,chaseload,memsetz-libc
Intel,4,5,1073741824,1,400.991,19,0.001,19,79895,79880,0,chaseload,memsetz-libc
Intel,5,5,1073741824,1,401.007,19,0.001,19,79941,79913,0.001,chaseload,memsetz-libc
Intel,1,5,1073741824,1,402.374,19,0.001,23,80034,80030,0,chaseload,memsetz-libc
Intel,2,5,1073741824,1,402.634,19,0.001,23,80070,80058,0,chaseload,memsetz-libc
Intel,3,5,1073741824,1,402.326,19,0.001,23,80057,80039,0.001,chaseload,memsetz-libc
Intel,4,5,1073741824,1,402.769,19,0,23,80011,80004,0,chaseload,memsetz-libc
Intel,5,5,1073741824,1,402.305,19,0.001,23,80053,80031,0.001,chaseload,memsetz-libc
Intel,1,5,1073741824,1,404.923,19,0.001,27,79965,79936,0.001,chaseload,memsetz-libc
Intel,2,5,1073741824,1,404.943,19,0.001,27,79924,79880,0.002,chaseload,memsetz-libc
Intel,3,5,1073741824,1,404.885,19,0.001,27,79923,79908,0,chaseload,memsetz-libc
Intel,4,5,1073741824,1,405.835,19,0,27,79945,79929,0,chaseload,memsetz-libc
Intel,5,5,1073741824,1,406.026,19,0,27,79936,79924,0,chaseload,memsetz-libc
Intel,1,5,1073741824,1,409.486,19,0.001,31,79467,79447,0.001,chaseload,memsetz-libc
Intel,2,5,1073741824,1,408.091,19,0.001,31,79463,79434,0.001,chaseload,memsetz-libc
Intel,3,5,1073741824,1,408.153,19,0.001,31,79514,79485,0.001,chaseload,memsetz-libc
Intel,4,5,1073741824,1,407.997,19,0.001,31,79477,79454,0.001,chaseload,memsetz-libc
Intel,5,5,1073741824,1,408.054,19,0.001,31,79512,79489,0.001,chaseload,memsetz-libc
Intel,1,5,1073741824,1,121.599,63,0.001,0,0,0,0,chaseload,stream-sum
Intel,2,5,1073741824,1,121.634,63,0.001,0,0,0,0,chaseload,stream-sum
Intel,3,5,1073741824,1,121.642,63,0.001,0,0,0,0,chaseload,stream-sum
Intel,4,5,1073741824,1,121.636,63,0.001,0,0,0,0,chaseload,stream-sum
Intel,5,5,1073741824,1,121.63,63,0.001,0,0,0,0,chaseload,stream-sum
Intel,1,5,1073741824,1,130.958,58,0,3,35573,35569,0,chaseload,stream-sum
Intel,2,5,1073741824,1,130.947,58,0,3,35626,35622,0,chaseload,stream-sum
Intel,3,5,1073741824,1,130.984,58,0,3,35608,35593,0.001,chaseload,stream-sum
Intel,4,5,1073741824,1,130.991,58,0,3,35631,35623,0,chaseload,stream-sum
Intel,5,5,1073741824,1,130.921,58,0,3,35628,35621,0.001,chaseload,stream-sum
Intel,1,5,1073741824,1,144.251,53,0,7,74520,74488,0.001,chaseload,stream-sum
Intel,2,5,1073741824,1,144.589,53,0,7,74478,74467,0,chaseload,stream-sum
Intel,3,5,1073741824,1,144.378,53,0,7,74486,74468,0,chaseload,stream-sum
Intel,4,5,1073741824,1,144.285,53,0,7,74489,74478,0,chaseload,stream-sum
Intel,5,5,1073741824,1,144.434,53,0.002,7,74458,74436,0.001,chaseload,stream-sum
Intel,1,5,1073741824,1,167.844,45,0.001,11,94847,94823,0.001,chaseload,stream-sum
Intel,2,5,1073741824,1,168.272,45,0,11,94836,94827,0,chaseload,stream-sum
Intel,3,5,1073741824,1,168.026,45,0,11,94795,94788,0,chaseload,stream-sum
Intel,4,5,1073741824,1,167.995,45,0,11,94812,94795,0,chaseload,stream-sum
Intel,5,5,1073741824,1,168.145,45,0.001,11,94825,94817,0,chaseload,stream-sum
Intel,1,5,1073741824,1,214.866,36,0.003,15,108495,108485,0,chaseload,stream-sum
Intel,2,5,1073741824,1,214.085,36,0.002,15,108524,108497,0,chaseload,stream-sum
Intel,3,5,1073741824,1,214.078,36,0.004,15,108509,108485,0,chaseload,stream-sum
Intel,4,5,1073741824,1,214.159,36,0.021,15,108503,108446,0.002,chaseload,stream-sum
Intel,5,5,1073741824,1,215.43,35,0.005,15,108501,108488,0,chaseload,stream-sum
Intel,1,5,1073741824,1,268.628,28,0.006,19,109796,109772,0,chaseload,stream-sum
Intel,2,5,1073741824,1,264.778,29,0.017,19,109791,109762,0.001,chaseload,stream-sum
